:START_ID,:END_ID,:TYPE
2316,2421,0.75
2769,2811,0.71
965,2134,0.71
300028,300678,0.71
2076,300599,0.71
300151,300319,0.71
2850,300752,0.71
2816,2850,0.71
2763,2811,0.71
1872,1979,0.71
2222,2474,0.71
2273,300256,0.71
300760,300771,0.71
300167,300668,0.71
2583,300227,0.71
739,2056,0.71
2887,300334,0.71
300385,300694,0.71
2857,2936,0.71
2037,2873,0.71
2364,2637,0.71
563,300487,0.71
610,721,0.71
2799,300487,0.71
300023,300487,0.71
300116,300487,0.71
300164,300487,0.71
300410,300716,0.71
650,2591,0.71
2269,300039,0.71
2094,300779,0.71
852,988,0.71
2724,300193,0.71
300195,300334,0.71
300124,300679,0.71
2255,2839,0.71
300266,300478,0.71
681,2516,0.71
2551,2916,0.71
300317,300778,0.71
